account_id,customer_id,count_of_tran_last_180days,CreditInflow_last_180days,Debitoutflow_last_180days,Count_of_Dr_tran_last_180days,product_name,product_code,On_App,On_USSD,On_Business_app,clear_balance,has_card,Payday_loan,Salary_loan,Device_loan,child_account,teenager_account,School_fees_advance,NYSC_loan,Eventss,Dataa,Bills,Travels,Airtime,HealthConnect,Insurance,ExpenseTracker,QR_pay,Evoucher,Movies,Marital_status,Age
ACC100016,CUST200016,0,0.0,99522.2,0,Current,P001,Inactive,Active,Active,0.0,No,No,No,No,No,No,No,,No,No,No,No,,No,No,No,No,No,No,Married,58
ACC100017,CUST200017,1,0.0,0.0,0,Current,P001,Active,,Inactive,0.0,No,No,No,,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,,Single,45
ACC100018,CUST200018,0,0.0,0.0,0,Youth,P003,Inactive,Inactive,Active,0.0,No,No,No,No,No,No,No,No,No,,No,No,No,No,No,No,No,No,No,Single,0
ACC100019,CUST200019,0,593538.02,465312.6,0,Savings,P002,Active,Active,Inactive,0.0,No,No,,No,Yes,No,No,,No,No,No,No,No,No,,No,No,No,No,Single,57
ACC100020,CUST200020,1,762121.18,0.0,3,Youth,P001,,Inactive,,46520.37,Yes,,No,No,No,No,No,No,No,No,,No,No,No,No,No,No,No,No,Single,27
ACC100021,CUST200021,0,0.0,0.0,0,Salary,P003,Inactive,Inactive,Inactive,118513.88,,No,,No,No,No,No,No,No,No,No,No,,No,No,No,No,No,No,Single,28
ACC100022,CUST200022,0,248686.93,0.0,3,Current,P001,Inactive,,Inactive,0.0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,No,No,No,No,Single,48
ACC100023,CUST200023,0,757840.61,0.0,1,Current,P003,,Inactive,,0.0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Single,0
ACC100024,CUST200024,0,436368.3,746688.27,0,Youth,P002,Inactive,Inactive,Inactive,85784.95,No,No,No,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Divorced,54
ACC100025,CUST200025,2,0.0,0.0,0,Savings,P002,Inactive,,,0.0,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,,No,Yes,No,No,Married,32
ACC100026,CUST200026,0,0.0,0.0,0,Savings,P003,,,Inactive,0.0,No,No,No,No,No,No,,No,No,No,No,No,No,No,No,No,No,Yes,No,Single,38
ACC100027,CUST200027,1,0.0,0.0,0,Salary,P001,Inactive,,Inactive,134945.6,No,No,No,No,,No,No,No,No,No,Yes,Yes,No,No,No,No,Yes,No,,Single,0
ACC100028,CUST200028,1,562744.64,0.0,6,Salary,P001,,Inactive,Inactive,0.0,No,No,No,No,No,No,No,No,No,No,No,,No,No,No,No,No,No,No,Married,27
ACC100029,CUST200029,0,0.0,533476.62,0,Salary,P002,Inactive,,,36907.63,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,No,No,No,No,Married,47
ACC100030,CUST200030,1,0.0,0.0,6,Youth,P001,Inactive,Inactive,Inactive,0.0,No,No,No,No,No,Yes,No,,No,No,No,No,No,,,No,No,,Yes,Single,34
ACC100031,CUST200031,0,0.0,508922.5,3,Current,P003,Inactive,,Inactive,0.0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,No,No,No,No,Married,41
ACC100032,CUST200032,0,0.0,0.0,0,Youth,P003,,Inactive,,0.0,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,No,,No,Single,38
ACC100033,CUST200033,10,772033.63,534198.53,0,Youth,P003,Inactive,,,0.0,No,No,No,No,No,,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Single,40
ACC100034,CUST200034,20,0.0,0.0,0,Savings,P002,Active,Inactive,,0.0,,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Married,28
ACC100035,CUST200035,5,0.0,0.0,3,Salary,P002,Inactive,Active,,161509.54,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Single,0
ACC100036,CUST200036,0,56286.01,423568.87,6,Current,P002,Inactive,Inactive,Inactive,0.0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,No,Married,33
ACC100037,CUST200037,0,983755.56,192006.37,0,Salary,P003,Inactive,,Inactive,0.0,No,No,No,No,No,No,No,No,,Yes,No,No,Yes,No,No,No,No,No,Yes,Married,34
ACC100038,CUST200038,1,799091.65,0.0,0,Salary,P002,Inactive,,Inactive,185266.24,No,No,No,No,No,No,No,No,No,,No,No,No,No,No,,No,No,No,Single,48
ACC100039,CUST200039,0,443074.9,0.0,0,Salary,P003,,Inactive,Inactive,310247.36,Yes,,No,No,No,No,No,No,,No,,No,No,No,,No,No,No,No,Married,67
ACC100040,CUST200040,0,105582.19,0.0,3,Current,P001,,Inactive,Inactive,57855.74,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,,,,Single,30
ACC100041,CUST200041,0,0.0,331855.85,6,Savings,P002,Inactive,,Inactive,33106.93,No,No,No,No,No,No,No,No,,,No,No,No,No,No,No,No,No,No,Single,40
ACC100042,CUST200042,0,0.0,0.0,0,Current,P001,Inactive,Inactive,Inactive,0.0,No,No,No,No,No,No,No,No,No,No,No,No,No,,No,No,,,No,Single,32
ACC100043,CUST200043,10,588970.71,288789.49,0,Current,P001,Inactive,Inactive,Inactive,102709.18,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,No,,No,,Widowed,29
ACC100044,CUST200044,0,582313.14,205206.59,0,Savings,P002,,,,184994.46,No,No,Yes,,No,No,No,No,No,No,No,,Yes,No,Yes,No,,No,No,Single,54
ACC100045,CUST200045,1,311719.37,264736.83,0,Current,P002,Active,Active,,0.0,No,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,No,Single,0
ACC100046,CUST200046,0,0.0,0.0,3,Current,P001,Inactive,Inactive,Inactive,402560.67,No,No,,No,No,No,No,No,No,No,No,No,,No,No,No,No,No,No,Single,58
ACC100047,CUST200047,1,0.0,0.0,0,Youth,P001,Inactive,Inactive,Inactive,0.0,No,No,No,No,No,,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,Married,60
ACC100048,CUST200048,1,0.0,0.0,1,Current,P001,,,,651647.22,Yes,No,No,No,,No,No,No,No,No,,No,,No,No,No,No,No,No,Married,52
ACC100049,CUST200049,0,0.0,347234.35,0,Youth,P003,Inactive,Active,Inactive,0.0,No,No,No,No,No,,No,No,No,No,,No,No,No,No,No,No,No,No,Single,30
ACC100050,CUST200050,20,0.0,164374.42,0,Youth,P001,,Inactive,Inactive,0.0,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,,No,Yes,No,Single,65
ACC100051,CUST200051,2,695574.45,0.0,0,Youth,P003,Inactive,Active,,317980.56,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,,No,Yes,No,No,Married,51
ACC100052,CUST200052,10,0.0,675304.53,3,Salary,P002,Inactive,Inactive,Inactive,0.0,No,No,No,No,,No,No,,No,No,No,,No,No,No,No,No,No,No,Married,68
ACC100053,CUST200053,5,0.0,0.0,1,Savings,P001,Inactive,Inactive,,349505.35,No,No,No,No,No,,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Married,35
ACC100054,CUST200054,1,0.0,0.0,0,Salary,P002,,Inactive,Inactive,39851.75,No,No,No,No,No,No,,No,No,No,No,,No,,No,No,No,No,No,Married,60
ACC100055,CUST200055,10,919881.5,282096.57,0,Savings,P001,Inactive,Inactive,,0.0,Yes,No,No,No,No,,No,No,No,No,No,,No,No,,No,No,No,No,Single,27
ACC100056,CUST200056,0,0.0,0.0,0,Current,P002,Inactive,Inactive,Inactive,0.0,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Widowed,63
ACC100057,CUST200057,0,0.0,391290.87,0,Youth,P001,Active,Inactive,Inactive,0.0,Yes,No,No,No,No,No,No,No,No,No,,No,No,,No,No,No,No,No,Married,58
ACC100058,CUST200058,0,0.0,0.0,1,Salary,P003,Inactive,Inactive,Inactive,0.0,Yes,No,No,No,No,No,No,,No,No,No,No,No,No,,No,,No,No,Single,64
ACC100059,CUST200059,0,0.0,0.0,0,Current,P002,Active,,Inactive,0.0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Single,58
ACC100060,CUST200060,0,373908.31,0.0,0,Salary,P002,Inactive,Inactive,Inactive,207155.13,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,,No,Yes,No,No,Married,29
ACC100061,CUST200061,0,827416.48,0.0,3,Current,P001,Inactive,,Inactive,0.0,No,,No,No,,No,No,No,No,No,No,No,,No,,No,No,,No,Widowed,28
ACC100062,CUST200062,5,0.0,0.0,0,Salary,P003,Inactive,,Inactive,0.0,No,No,No,,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,Single,20
ACC100063,CUST200063,0,0.0,589309.71,0,Current,P003,Inactive,Inactive,,0.0,Yes,No,No,No,No,No,,No,No,No,No,No,,No,No,No,No,No,No,Married,43
ACC100064,CUST200064,0,388167.23,470963.62,0,Current,P003,Inactive,Inactive,Inactive,0.0,No,No,No,No,No,No,No,No,No,,,No,,No,No,No,No,No,No,Married,40
ACC100065,CUST200065,1,0.0,0.0,3,Salary,P001,Inactive,Inactive,Inactive,0.0,Yes,,No,,No,No,No,No,No,No,No,,No,No,No,No,No,Yes,No,Single,27
ACC100066,CUST200066,0,0.0,0.0,0,Current,P002,Inactive,Inactive,,220929.13,No,No,No,No,No,No,No,No,No,No,No,No,,,No,No,No,No,,Single,45
ACC100067,CUST200067,5,0.0,213601.77,0,Youth,P001,Inactive,Inactive,Inactive,0.0,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Married,25
ACC100068,CUST200068,0,419040.92,642253.1,1,Youth,P003,,Inactive,Active,0.0,No,No,No,No,No,Yes,No,No,No,,,No,No,No,No,No,No,No,No,Married,36
ACC100069,CUST200069,50,0.0,559700.98,0,Youth,P003,Inactive,,Inactive,0.0,No,No,No,No,No,No,No,No,No,Yes,No,Yes,Yes,No,No,No,No,No,No,Widowed,24
ACC100070,CUST200070,2,0.0,583105.96,3,Youth,P002,Inactive,,Inactive,111467.16,No,Yes,No,No,No,Yes,,No,No,No,,No,,No,No,No,No,No,No,Married,56
ACC100071,CUST200071,0,628937.96,0.0,6,Savings,P001,,Inactive,Inactive,0.0,,No,No,No,No,No,No,No,Yes,,No,,No,No,No,No,No,No,No,Single,56
ACC100072,CUST200072,0,0.0,0.0,1,Salary,P001,Inactive,Inactive,Inactive,0.0,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,Yes,,No,Widowed,63
ACC100073,CUST200073,5,0.0,0.0,1,Youth,P003,,Inactive,,0.0,No,No,No,No,Yes,No,No,No,,,No,No,,No,No,No,No,No,No,Single,44
ACC100074,CUST200074,2,515983.05,0.0,0,Youth,P002,Inactive,Inactive,,0.0,No,,,No,No,No,No,No,No,No,No,Yes,Yes,No,No,,No,No,No,Married,49
ACC100075,CUST200075,2,0.0,356188.28,0,Youth,P002,Inactive,Inactive,,0.0,No,No,No,No,No,No,No,Yes,,No,No,,Yes,No,No,No,,No,No,Married,50
ACC100076,CUST200076,2,302426.82,0.0,3,Savings,P003,Inactive,Inactive,,0.0,,No,No,No,No,No,No,No,No,No,No,Yes,,No,No,No,No,No,No,Married,24
ACC100077,CUST200077,0,0.0,395231.25,0,Salary,P001,,,Active,0.0,Yes,No,No,No,,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Married,36
ACC100078,CUST200078,0,0.0,296121.74,0,Current,P001,Inactive,Inactive,Inactive,536173.92,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,,No,No,No,,66
ACC100079,CUST200079,0,0.0,726377.77,6,Savings,P002,,Inactive,,275697.31,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,,No,Married,31
ACC100080,CUST200080,5,0.0,459259.07,0,Youth,P002,Inactive,,Active,0.0,No,No,No,No,No,No,,No,No,No,No,,No,No,No,No,No,No,No,Married,47
ACC100081,CUST200081,1,0.0,0.0,0,Youth,P003,,Inactive,,0.0,No,No,No,No,,No,No,No,No,,,No,No,No,No,No,No,No,,Widowed,48
ACC100082,CUST200082,0,485428.46,477654.85,1,Savings,P002,Inactive,Inactive,,0.0,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Single,55
ACC100083,CUST200083,0,0.0,0.0,3,Salary,P001,Inactive,Inactive,Inactive,0.0,Yes,No,No,,No,No,No,No,No,,No,No,No,No,No,No,,No,No,Single,26
ACC100084,CUST200084,0,0.0,0.0,6,Salary,P001,,Inactive,Inactive,0.0,No,No,No,No,No,Yes,No,,No,No,No,No,No,No,No,No,No,No,No,Married,65
ACC100085,CUST200085,0,0.0,230992.3,1,Current,P002,,,Inactive,0.0,,No,No,No,No,No,No,No,No,,No,Yes,No,No,No,No,No,No,No,Married,68
ACC100086,CUST200086,2,544126.16,0.0,3,Savings,P003,Inactive,Inactive,Inactive,175001.86,Yes,No,No,No,No,No,No,No,No,No,No,No,,No,No,No,No,No,No,Single,44
ACC100087,CUST200087,1,0.0,353480.15,1,Salary,P001,Inactive,Active,Inactive,262800.91,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,No,No,No,Single,38
ACC100088,CUST200088,5,0.0,449103.69,0,Savings,P001,Inactive,Inactive,,0.0,Yes,No,Yes,No,No,No,No,No,No,No,No,,No,No,No,No,No,No,No,Single,28
ACC100089,CUST200089,0,0.0,306935.5,3,Salary,P003,Inactive,,Inactive,84852.65,,,No,No,,,No,No,No,No,No,No,No,No,No,No,No,,No,Married,39
ACC100090,CUST200090,0,0.0,0.0,0,Salary,P002,,Inactive,Inactive,275560.0,No,No,No,No,No,No,No,No,,No,No,No,No,,No,No,No,Yes,No,Single,66
ACC100091,CUST200091,2,0.0,428480.97,0,Youth,P001,Inactive,,,0.0,No,No,No,No,No,No,,No,No,No,No,No,No,No,No,No,No,No,No,Married,20
ACC100092,CUST200092,2,827792.11,0.0,0,Salary,P001,Inactive,Inactive,Inactive,0.0,No,No,No,No,Yes,No,No,No,No,,No,No,,No,No,No,No,No,No,Married,35
ACC100093,CUST200093,1,0.0,462035.17,0,Salary,P003,,Inactive,,0.0,,,No,No,No,No,No,No,No,No,,No,No,No,No,No,No,No,No,Single,60
ACC100094,CUST200094,2,0.0,0.0,0,Savings,P002,Inactive,Inactive,,391144.5,Yes,No,No,No,No,No,No,,,Yes,Yes,No,No,No,No,No,,Yes,No,Married,56
ACC100095,CUST200095,0,0.0,535406.09,0,Salary,P003,Inactive,,Inactive,154892.86,Yes,No,No,No,No,No,No,,No,No,No,No,No,No,No,No,No,,,Married,46
ACC100096,CUST200096,1,565398.9,0.0,0,Salary,P003,Inactive,Inactive,Inactive,0.0,No,No,No,No,Yes,No,No,,No,,No,No,No,No,No,,No,,No,Married,58
ACC100097,CUST200097,0,0.0,0.0,0,Savings,P002,,Inactive,Inactive,213721.18,No,No,No,No,No,,No,No,No,No,No,No,No,No,No,No,No,No,No,Single,55
ACC100098,CUST200098,0,0.0,0.0,0,Salary,P001,Inactive,Inactive,,0.0,No,No,No,,No,No,No,No,No,Yes,No,No,,No,,No,No,No,No,Widowed,49
ACC100099,CUST200099,0,0.0,0.0,3,Savings,P003,Inactive,Inactive,,343738.51,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,,No,Divorced,50
ACC100100,CUST200100,0,0.0,245549.39,6,Savings,P001,,Active,Inactive,0.0,No,No,,No,No,,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,Married,34
ACC100101,CUST200101,1,0.0,0.0,3,Savings,P001,Inactive,Inactive,Inactive,0.0,No,No,No,No,No,No,No,,No,No,No,No,No,No,No,No,No,No,,Married,46
ACC100102,CUST200102,0,0.0,0.0,0,Savings,P001,Inactive,Inactive,,198392.96,,No,No,No,No,,No,No,Yes,No,No,No,No,Yes,No,No,Yes,,No,Married,28
ACC100103,CUST200103,1,0.0,0.0,1,Youth,P001,Active,Active,Inactive,0.0,No,No,No,No,No,No,,No,,No,No,No,No,No,No,No,No,No,No,,66
ACC100104,CUST200104,10,0.0,0.0,0,Youth,P003,,,Active,180200.21,No,No,,No,No,Yes,No,No,,No,No,No,No,No,No,,No,No,,Divorced,42
ACC100105,CUST200105,0,0.0,0.0,0,Youth,P002,,,Inactive,0.0,No,No,No,No,No,,No,Yes,No,No,,No,No,No,Yes,,Yes,No,No,Married,53
ACC100106,CUST200106,0,0.0,167932.63,1,Youth,P001,Inactive,Inactive,Active,0.0,No,No,No,No,No,No,No,No,No,No,No,No,,No,No,No,No,No,No,Single,0
ACC100107,CUST200107,2,0.0,0.0,1,Savings,P001,Inactive,Inactive,Inactive,206606.4,,No,No,Yes,No,No,No,No,No,No,No,No,No,,No,No,No,No,No,Married,50
ACC100108,CUST200108,0,437432.71,0.0,3,Savings,P001,Inactive,Inactive,Inactive,0.0,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,,Yes,No,,No,Single,48
ACC100109,CUST200109,0,706183.87,0.0,1,Savings,P002,Inactive,Inactive,,0.0,No,Yes,No,No,,No,Yes,No,No,,No,No,No,Yes,No,No,No,No,No,Married,33
ACC100110,CUST200110,0,442387.44,0.0,0,Savings,P001,,,Inactive,0.0,No,No,No,No,No,No,,No,No,No,No,No,No,No,No,No,No,,No,Single,64
ACC100111,CUST200111,0,586204.59,0.0,6,Youth,P002,Inactive,Inactive,Active,0.0,Yes,,No,No,,No,No,No,No,No,No,No,No,,No,No,No,No,No,Single,64
ACC100112,CUST200112,10,477287.49,0.0,1,Salary,P003,Active,,Inactive,0.0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,No,No,Yes,No,Married,28
ACC100113,CUST200113,5,488829.56,334980.71,3,Youth,P002,Inactive,Inactive,Inactive,0.0,No,No,No,No,No,No,No,No,,,No,No,No,,No,No,,No,No,Married,56
ACC100114,CUST200114,1,0.0,0.0,3,Savings,P001,Inactive,Inactive,Inactive,249134.22,,No,Yes,No,No,No,No,,No,No,No,No,No,No,No,No,,No,No,Married,24
ACC100115,CUST200115,5,768970.81,0.0,0,Savings,P003,Inactive,Inactive,Inactive,0.0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Single,56
ACC100116,CUST200116,5,0.0,0.0,0,Salary,P002,,Inactive,,0.0,No,No,No,No,No,No,No,Yes,No,No,,Yes,No,No,No,No,No,No,,Single,39
ACC100117,CUST200117,0,0.0,428642.62,0,Savings,P001,Inactive,,,0.0,,No,No,,No,No,No,No,No,,,No,No,Yes,No,No,No,No,No,Married,68
ACC100118,CUST200118,5,924198.71,615118.98,0,Salary,P003,Inactive,,,39179.42,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Divorced,44
ACC100119,CUST200119,1,0.0,0.0,0,Savings,P003,Inactive,Inactive,Inactive,0.0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Married,39
ACC100120,CUST200120,5,0.0,177766.94,0,Salary,P002,Inactive,Inactive,,0.0,No,,No,,No,No,No,No,,No,No,,,No,No,No,No,No,,Single,39
ACC100121,CUST200121,5,386948.25,0.0,6,Current,P001,,Inactive,Active,147257.73,Yes,No,No,No,No,No,No,,No,No,No,No,No,No,No,No,No,No,No,Married,44
ACC100122,CUST200122,0,0.0,0.0,6,Current,P002,Inactive,Inactive,Active,0.0,,No,No,No,No,No,No,Yes,No,No,No,,No,,,No,No,No,No,Married,20
ACC100123,CUST200123,0,0.0,0.0,1,Current,P003,Inactive,Inactive,,439693.56,No,No,No,No,Yes,No,No,No,No,No,No,No,,No,No,No,No,No,No,Married,32
ACC100124,CUST200124,0,0.0,0.0,0,Current,P003,Inactive,Inactive,Inactive,0.0,Yes,No,No,No,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Married,61
ACC100125,CUST200125,0,472602.08,0.0,0,Savings,P001,,Active,Inactive,0.0,,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,,No,No,Single,63
ACC100126,CUST200126,5,0.0,0.0,1,Savings,P003,,,,366731.47,No,Yes,No,No,No,,No,No,No,No,No,No,No,No,No,,No,No,No,Single,48
ACC100127,CUST200127,5,0.0,0.0,0,Savings,P001,Inactive,Inactive,Inactive,233522.41,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Single,49
ACC100128,CUST200128,0,0.0,0.0,3,Current,P002,,Inactive,Inactive,322679.29,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,Single,0
ACC100129,CUST200129,1,516582.37,0.0,6,Salary,P003,Inactive,Inactive,,0.0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,No,No,No,,Single,50
ACC100130,CUST200130,0,0.0,0.0,0,Salary,P003,Inactive,,Inactive,0.0,,Yes,No,No,,No,,No,No,No,No,Yes,No,No,Yes,No,No,No,No,Single,39
ACC100131,CUST200131,0,0.0,497962.25,1,Current,P001,,,Inactive,183004.6,No,No,Yes,No,No,No,No,No,No,Yes,,No,No,No,No,No,,Yes,No,Widowed,66
ACC100132,CUST200132,0,0.0,0.0,0,Savings,P001,Inactive,,Inactive,0.0,No,No,No,No,No,,,,No,No,No,No,No,,No,No,No,No,No,Married,67
ACC100133,CUST200133,0,0.0,566533.15,1,Current,P002,,Inactive,Inactive,0.0,No,No,No,No,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Single,61
ACC100134,CUST200134,10,434677.24,81598.31,0,Youth,P001,Inactive,,,0.0,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Single,0
ACC100135,CUST200135,0,0.0,0.0,0,Salary,P003,Inactive,Active,Inactive,207938.7,No,No,No,No,No,No,No,,No,Yes,No,No,No,No,No,No,No,Yes,No,Married,32
ACC100136,CUST200136,1,189392.94,0.0,1,Current,P002,Inactive,Inactive,Inactive,601584.8,No,No,No,No,,No,No,No,No,No,No,No,,No,No,No,No,No,No,Married,61
ACC100137,CUST200137,2,0.0,0.0,1,Current,P002,,,Inactive,0.0,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,,No,No,,No,Married,33
ACC100138,CUST200138,0,483243.38,0.0,1,Current,P002,Inactive,,Inactive,0.0,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,Single,45
ACC100139,CUST200139,20,950807.62,0.0,0,Current,P001,Inactive,Active,Active,76494.41,No,No,No,No,No,,No,No,No,No,No,No,No,No,No,,No,Yes,No,Single,69
ACC100140,CUST200140,20,0.0,0.0,1,Savings,P001,,Inactive,Inactive,263663.55,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Married,37
ACC100141,CUST200141,0,0.0,0.0,3,Salary,P003,Active,Inactive,Inactive,266514.0,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Married,56
ACC100142,CUST200142,0,0.0,257209.42,12,Youth,P002,Inactive,,Inactive,0.0,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Single,45
ACC100143,CUST200143,0,689185.92,0.0,6,Savings,P002,Inactive,,,0.0,,No,No,No,No,No,No,No,No,No,No,No,,,,No,No,No,No,Single,54
ACC100144,CUST200144,0,0.0,206870.07,3,Current,P002,Active,Active,,0.0,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,No,Single,51
ACC100145,CUST200145,0,657815.04,0.0,1,Current,P003,,,Inactive,0.0,No,No,No,No,,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Married,62
ACC100146,CUST200146,1,374155.87,464767.85,0,Current,P001,,Inactive,Inactive,0.0,No,No,No,No,No,No,No,No,,No,No,No,,No,No,No,,No,Yes,Married,0
ACC100147,CUST200147,1,358658.65,0.0,0,Current,P002,Inactive,,,0.0,Yes,No,No,No,No,No,No,Yes,No,No,,No,No,No,,No,No,No,No,Married,23
ACC100148,CUST200148,0,241375.55,0.0,0,Salary,P001,,,Active,237832.71,No,,No,No,Yes,No,No,No,No,No,No,No,No,,No,No,No,No,No,Single,19
ACC100149,CUST200149,0,0.0,498375.63,3,Current,P001,Inactive,Inactive,Inactive,0.0,No,No,No,No,Yes,No,No,No,No,No,No,,No,No,No,No,No,No,No,Single,38
